co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,id_conta_contabil,no_conta_contabil,va_custo_depreciacao
1,EMPRESA PUBLICA,2852,MINISTERIO DE MINAS E ENERGIA,76608,EMPRESA DE PESQUISA ENERGETICA,-9,NAO SE APLICA,2015,8,333210200,AMORTIZACAO DE INTANGIVEL,0.0
4,AUTARQUIA,115257,SECRETARIA DE AVIACAO CIVIL DA PRESIDENCIA DA REPUBLICA,86144,AGENCIA NACIONAL DE AVIACAO CIVIL,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,216757.96
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2799,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO AMAPA",-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,163.54
4,AUTARQUIA,1927,MINISTERIO DO MEIO AMBIENTE,91842,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",982,LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA,-9,NAO SE APLICA,2015,12,333210200,AMORTIZACAO DE INTANGIVEL,7982.43
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2791,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DE GOIAS",-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,38354.52
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2803,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO PIAUI",-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,56243.06
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,420,UNIVERSIDADE FEDERAL DE ALAGOAS,-9,NAO SE APLICA,2015,8,333110100,DEPRECIACAO DE BENS MOVEIS,1114284.55
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",-9,NAO SE APLICA,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2788,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DA BAHIA",-9,NAO SE APLICA,2015,4,333110100,DEPRECIACAO DE BENS MOVEIS,66418.98
4,AUTARQUIA,115257,SECRETARIA DE AVIACAO CIVIL DA PRESIDENCIA DA REPUBLICA,86144,AGENCIA NACIONAL DE AVIACAO CIVIL,-9,NAO SE APLICA,2015,4,333210200,AMORTIZACAO DE INTANGIVEL,46522.32
2,FUNDACAO PUBLICA,304,MINISTERIO DA SAUDE,2207,FUNDACAO NACIONAL DE SAUDE,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,49103,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PARANA",-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,42670,MINISTERIO DA INTEGRACAO NACIONAL,91144,SUPERINTENDENCIA DO DESENVOLVIMENTO DO NORDESTE,-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
1,EMPRESA PUBLICA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",98519,CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVANCADA S. A,-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,1067338.58
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100914,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MINAS GERAIS",-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
