co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,va_custo_pessoal_inativo
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,4,13380.95
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,2,13380.95
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,1,13380.95
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,8,25652.19
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,12,26025.19
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,5,13380.95
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,10,26025.19
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,3,13380.95
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,9,26025.19
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,200517,SUPERINTENDENCIA DE MEDICAMENTOS E PRODUTOS BIOLOGICOS,2015,6,13380.95
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,200646,CONSELHO DO ILAACH,2018,11,2534.12
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,200646,CONSELHO DO ILAACH,2018,8,2534.12
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,200646,CONSELHO DO ILAACH,2018,12,2534.12
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,200646,CONSELHO DO ILAACH,2018,6,2226.34
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,200646,CONSELHO DO ILAACH,2018,9,2534.12
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,200646,CONSELHO DO ILAACH,2018,7,2534.12
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,200646,CONSELHO DO ILAACH,2018,10,2534.12
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122084,SUPERINTENDENCIA DE RELACOES COM CONSUMIDORES,2019,3,10516.85
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122084,SUPERINTENDENCIA DE RELACOES COM CONSUMIDORES,2019,11,10516.85
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122084,SUPERINTENDENCIA DE RELACOES COM CONSUMIDORES,2019,4,10516.85
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122084,SUPERINTENDENCIA DE RELACOES COM CONSUMIDORES,2019,1,10516.85
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122084,SUPERINTENDENCIA DE RELACOES COM CONSUMIDORES,2019,5,10516.85
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122084,SUPERINTENDENCIA DE RELACOES COM CONSUMIDORES,2019,7,10516.85
4,AUTARQUIA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES",25064,AGENCIA NACIONAL DE TELECOMUNICACOES,122084,SUPERINTENDENCIA DE RELACOES COM CONSUMIDORES,2019,10,10516.85
2,FUNDACAO PUBLICA,72084,MINISTERIO DO TURISMO,984,FUNDACAO BIBLIOTECA NACIONAL,-9,NAO SE APLICA,2020,7,852378.51
2,FUNDACAO PUBLICA,72084,MINISTERIO DO TURISMO,984,FUNDACAO BIBLIOTECA NACIONAL,-9,NAO SE APLICA,2020,11,995000.35
2,FUNDACAO PUBLICA,72084,MINISTERIO DO TURISMO,984,FUNDACAO BIBLIOTECA NACIONAL,-9,NAO SE APLICA,2020,10,142621.84
2,FUNDACAO PUBLICA,72084,MINISTERIO DO TURISMO,984,FUNDACAO BIBLIOTECA NACIONAL,-9,NAO SE APLICA,2020,8,852378.51
2,FUNDACAO PUBLICA,72084,MINISTERIO DO TURISMO,984,FUNDACAO BIBLIOTECA NACIONAL,-9,NAO SE APLICA,2020,9,852378.51
